name,nomer,address,kota,keyword,is_wa,sudah,
Jabal (Nasi campur),087859993978,"Jl. Maninjau Raya No.16, Sawojajar, Kec. Kedungkandang, Kota Malang, Jawa Timur 65139",kota malang,nasi kebuli,ada,
Nasi Arab Salman,081332622017,"Jl. Raya Klampok No.444, RT.02/RW.05, Kebonjati, Klampok, Kec. Singosari, Kabupaten Malang, Jawa Timur 65153",kota malang,nasi kebuli,tidak,
Catering dan Warung Nasi Kebuli,085102132287,"Gambiran, Mojosari, Kec. Kepanjen, Kabupaten Malang, Jawa Timur 65163",kota malang,nasi kebuli,ada,
Nasi Kebuli Pak Mirza Gembul,081933127095,"Jl. Raya Penarukan No.22, Kepanjen, Kec. Kepanjen, Kabupaten Malang, Jawa Timur 65163",kota malang,nasi kebuli,tidak,
Nasi Kebuli Daging Sapi Kota Batu,087827839165,"Jl. Dewi Sartika No.12, Temas, Kec. Batu, Kota Batu, Jawa Timur 65315",kota malang,nasi kebuli,ada,
Doan Restaurant Malang,,"Jl. Burangrang No.2, Gading Kasri, Kec. Klojen, Kota Malang, Jawa Timur 65115",kota malang,nasi kebuli,,
NASI GORENG SULTAN MALANG,08815527022,"Jl. Lembang No.30, Rampal Celaket, Kec. Klojen, Kota Malang, Jawa Timur 65112",kota malang,nasi kebuli,ada,
Nasi Krawu Abu Abi,082337370744,"Jl. Maninjau Raya No.58, Sawojajar, Kec. Kedungkandang, Kota Malang, Jawa Timur 65139",kota malang,nasi kebuli,ada,
Nasi Kebuli Sultan,,"2J68+HFP, Jl. Merpati Utara, Sukun, Kec. Sukun, Kota Malang, Jawa Timur 65147",kota malang,nasi kebuli,,
Warung Sate Kambing Rachmad,,"Jl. Besar Ijen No.70-60, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65119",kota malang,warung kambing,,
Warung Sate dan Gule Kambing AL-MARGANI (Sate Klaseman),,"Jl. Raya Candi II No.6-14, Karangbesuki, Kec. Sukun, Kota Malang, Jawa Timur 65146",kota malang,warung kambing,,
Warung Sate-Kambing Abah Acil,,"3J44+C3C, Jalan Tlogomas, Merjosari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144",kota malang,warung kambing,,
Sate Dan Gule Kambing Bang Fais,,"2JCP+FVC, Jl. Trunojoyo, Kiduldalem, Kec. Klojen, Kota Malang, Jawa Timur 65111",kota malang,warung kambing,,
"Warung sate ayam , kambing, gule",,"2H6R+Q89, Jl. Budi Utomo, Mulyorejo, Kec. Sukun, Kota Malang, Jawa Timur",kota malang,warung kambing,,
Sate & Gule Kambing,,"Jl. Hamid Rusdi No.10, Bunulrejo, Kec. Blimbing, Kota Malang, Jawa Timur 65126",kota malang,warung kambing,,
"Sate Ayam Dan kambing,madura Bang Mamad",087877729570,"Jl. Raya Pandanlandung, Krajan, Pandanlandung, Kec. Sukun, Kota Malang, Jawa Timur 65158",kota malang,warung kambing,ada,
"Warung ECO ""Mak Nyak"" Soto Kambing",,"Jl. Candi Panggung Bar. No.61-62, Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142",kota malang,warung kambing,,
Sate Ayam dan Kambing Cak Sa'i,,"3J26+MRJ, Jl. Watugong, Ketawanggede, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145",kota malang,warung kambing,,
Sate Ayam & Kambing,,"Jl. Kalpataru No.141, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",kota malang,warung kambing,,
"Kare Kambing/sapi ""Suroboyo",087863523777,"Jl. Laksda Adi Sucipto No.289, Pandanwangi, Kec. Blimbing, Kota Malang, Jawa Timur 65124",kota malang,warung kambing,ada,
Warung Sate Barokah Pak Su,085100353217,"Jl. Danau Maninjau Selatan No. D1-D21, Sawojajar, Kedungkandang, Sawojajar, Kec. Kedungkandang, Kota Malang, Jawa Timur 65139",kota malang,warung kambing,tidak,
Soto Ayam - Kambing Tenda Kuning Mak Ngat,,"Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",kota malang,warung kambing,,
Warung Sate Kambing Sunan Jaya,089667631516,"Jalan Raya Kagrengan Ngijo No.62, Ngijo, Karangploso, Kendalsari, Ngijo, Kec. Karang Ploso, Kabupaten Malang, Jawa Timur 65152",kota malang,warung kambing,ada,
"Sate Ayam Kambing Gule ""Abah Acil"" Cab. Tlogomas",081937962742,"Depan Superindo, Jl. Raya Tlogomas No.3, Tlogomas, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144",kota malang,warung kambing,ada,
"Sate Ayam dan Kambing ""Abah Acil Madura"" Cab. Stopan Cengger Ayam",081334300047,"Jl. Kalpataru No.14, RW.02, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",kota malang,warung kambing,ada,
Sate Kambing Khas Bola Pelangi,,"2JHP+5CM, Jl. Doktor Sutomo, Klojen, Kec. Klojen, Kota Malang, Jawa Timur 65111",kota malang,warung kambing,,
Sate ayam sate kambing dan gule kambing bandulan barat,081805010770,"Jl. Bandulan Bar., Krajan, Pandanlandung, Kec. Sukun, Kota Malang, Jawa Timur 65146",kota malang,warung kambing,ada,
Sate Kambing Khas Solo Asli,,"Jl. Veteran No.17, Ketawanggede, Kec. Lowokwaru, Kota Malang, Jawa Timur 64171",kota malang,warung kambing,,
Sate Ayam Kambing - Bang Tohir,,"Jl. MT. Haryono No.27c, Dinoyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145",kota malang,warung kambing,,
Sate Barokah (Ayam dan Kambing),,"Jl. Ikan Piranha Atas No.NO, Tunjungsekar, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142",kota malang,warung kambing,,
Warung Sate Gebug 1920,082228444777,"2JGH+2QV, Jl. Jenderal Basuki Rahmat, Klojen, Kec. Klojen, Kota Malang, Jawa Timur 65119",kota malang,warung kambing,ada,
Warung Sate Pak Salim,085850367768,"Piranha Atas I, Tunjungsekar, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142",kota malang,warung kambing,ada,
Warung Lestari Sate & Gule,081235818688,"Jl. Pelabuhan Tj. Emas No.1, Bakalankrajan, Kec. Wagir, Kota Malang, Jawa Timur 65158",kota malang,warung kambing,tidak,
Depot Sate Kambing Dan Gule ELIAS,,"Jl. Arif Margono No.28a, Kasin, Kec. Klojen, Kota Malang, Jawa Timur 65117",kota malang,warung kambing,,
Sate Kambing dan Sate Ayam,,"Jl. Batu Permata No.14, Tlogomas, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144",kota malang,warung kambing,,
Warung Lestari Cak Kasan,082245088653,"Jl. Sriwijaya, Kiduldalem, Kec. Klojen, Kota Malang, Jawa Timur 65111",kota malang,warung kambing,ada,
waeung sate ayam dan sate kambing,,"2JCX+8MM, Jl. Puntodewo, Polehan, Kec. Blimbing, Kota Malang, Jawa Timur 65126",kota malang,warung kambing,,
Sate Ayam dan Kambing Mukhlas,081931890581,"Jl. Halmahera No.1, Sukoharjo, Kec. Klojen, Kota Malang, Jawa Timur 65117",kota malang,warung kambing,ada,
Sate Gule Kambing & Ayam Kacuk,085101689804,"Jl. S. Supriadi No.15, RT.01/RW.02, Kebonsari, Kec. Sukun, Kota Malang, Jawa Timur 65149",kota malang,warung kambing,ada,
Warung Sate Gule PAK SAID (Sejak 1970),085100495796,"Jl. Kolonel Sugiono No.75, Mergosono, Kec. Kedungkandang, Kota Malang, Jawa Timur 65148",kota malang,warung kambing,ada,
Sop Kaki Kambing Dua Saudara,081233354398,"Jl. Letjend S. Parman No.21, 02, Lowokwaru, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",kota malang,warung kambing,ada,
